example_id                                                    | status  | run_time        |
./spec/pim/global_config_spec.rb[1:1]                         | passed  | 0.00005 seconds |
./spec/pim/global_config_spec.rb[1:2]                         | passed  | 0.00077 seconds |
./spec/pim/global_config_spec.rb[1:3]                         | passed  | 0.00063 seconds |
./spec/pim/http_spec.rb[1:1:1]                                | passed  | 0.00024 seconds |
./spec/pim/http_spec.rb[1:1:2]                                | passed  | 0.00032 seconds |
./spec/pim/http_spec.rb[1:1:3]                                | passed  | 0.00022 seconds |
./spec/pim/http_spec.rb[1:2:1]                                | passed  | 0.00003 seconds |
./spec/pim/http_spec.rb[1:2:2]                                | passed  | 0.00003 seconds |
./spec/pim/http_spec.rb[1:2:3]                                | passed  | 0.00003 seconds |
./spec/pim/http_spec.rb[1:2:4]                                | passed  | 0.00005 seconds |
./spec/pim/http_spec.rb[1:3:1]                                | passed  | 0.00004 seconds |
./spec/pim/image_spec.rb[1:1]                                 | passed  | 0.00007 seconds |
./spec/pim/image_spec.rb[1:2]                                 | passed  | 0.00003 seconds |
./spec/pim/image_spec.rb[1:3]                                 | passed  | 0.00003 seconds |
./spec/pim/image_spec.rb[1:4:1]                               | passed  | 0.00004 seconds |
./spec/pim/image_spec.rb[1:4:2]                               | passed  | 0.00004 seconds |
./spec/pim/image_spec.rb[1:5:1]                               | passed  | 0.00003 seconds |
./spec/pim/image_spec.rb[1:5:2]                               | passed  | 0.00003 seconds |
./spec/pim/image_spec.rb[1:5:3]                               | passed  | 0.00003 seconds |
./spec/pim/image_spec.rb[1:6:1]                               | passed  | 0.00003 seconds |
./spec/pim/image_spec.rb[1:6:2]                               | passed  | 0.00004 seconds |
./spec/pim/image_spec.rb[1:7:1]                               | passed  | 0.00003 seconds |
./spec/pim/image_spec.rb[1:7:2]                               | passed  | 0.00003 seconds |
./spec/pim/image_spec.rb[1:7:3]                               | passed  | 0.00003 seconds |
./spec/pim/image_spec.rb[1:7:4]                               | passed  | 0.00003 seconds |
./spec/pim/image_spec.rb[1:8:1]                               | passed  | 0.00005 seconds |
./spec/pim/image_spec.rb[1:8:2]                               | passed  | 0.00005 seconds |
./spec/pim/image_spec.rb[1:8:3]                               | passed  | 0.00026 seconds |
./spec/pim/image_spec.rb[1:8:4]                               | passed  | 0.00004 seconds |
./spec/pim/image_spec.rb[1:9:1]                               | passed  | 0.00006 seconds |
./spec/pim/models/build_spec.rb[1:1:1]                        | passed  | 0.00395 seconds |
./spec/pim/models/build_spec.rb[1:1:2]                        | passed  | 0.00418 seconds |
./spec/pim/models/build_spec.rb[1:1:3]                        | passed  | 0.00441 seconds |
./spec/pim/models/build_spec.rb[1:1:4]                        | passed  | 0.00444 seconds |
./spec/pim/models/build_spec.rb[1:2:1:1]                      | passed  | 0.00646 seconds |
./spec/pim/models/build_spec.rb[1:2:2:1]                      | passed  | 0.00483 seconds |
./spec/pim/models/build_spec.rb[1:2:3:1]                      | passed  | 0.00503 seconds |
./spec/pim/models/build_spec.rb[1:2:3:2]                      | passed  | 0.00483 seconds |
./spec/pim/models/build_spec.rb[1:3:1:1]                      | passed  | 0.0129 seconds  |
./spec/pim/models/build_spec.rb[1:3:1:2]                      | passed  | 0.00517 seconds |
./spec/pim/models/build_spec.rb[1:3:2:1]                      | passed  | 0.00441 seconds |
./spec/pim/models/build_spec.rb[1:3:3:1]                      | passed  | 0.0041 seconds  |
./spec/pim/models/build_spec.rb[1:3:3:2]                      | passed  | 0.0042 seconds  |
./spec/pim/models/build_spec.rb[1:3:3:3]                      | passed  | 0.00458 seconds |
./spec/pim/models/build_spec.rb[1:3:4:1]                      | passed  | 0.00412 seconds |
./spec/pim/models/build_spec.rb[1:3:4:2]                      | passed  | 0.00434 seconds |
./spec/pim/models/build_spec.rb[1:3:5:1]                      | passed  | 0.0046 seconds  |
./spec/pim/models/build_spec.rb[1:3:5:2]                      | passed  | 0.00464 seconds |
./spec/pim/models/build_spec.rb[1:3:5:3]                      | passed  | 0.0052 seconds  |
./spec/pim/models/build_spec.rb[1:3:5:4]                      | passed  | 0.00472 seconds |
./spec/pim/models/iso_checksum_spec.rb[1:1]                   | passed  | 0.00003 seconds |
./spec/pim/models/iso_checksum_spec.rb[1:2]                   | passed  | 0.00005 seconds |
./spec/pim/models/iso_checksum_spec.rb[1:3]                   | passed  | 0.00003 seconds |
./spec/pim/models/iso_checksum_spec.rb[1:4]                   | passed  | 0.00003 seconds |
./spec/pim/models/iso_checksum_spec.rb[1:5]                   | passed  | 0.00003 seconds |
./spec/pim/models/iso_checksum_spec.rb[1:6]                   | passed  | 0.00004 seconds |
